Species,Scientific_name,Body_size_g,Generation_time_years,Longevity_years,Chromosome_number,Heterozygosity,Mating_system,Group_size_mean,Male_body_size_kg,Female_body_size_kg,nloci
AfricanBuf,Syncerus caffer,622400.33,5,30.65,53,0.26,polygamous,NA,642.9,467.5,2735
Argali,Ovis ammon,145399.74,8,15.44,58,0.14,NA,14,120.7,63.2,1741
BarbaryShe,Ammotragus lervia,84080.44,5,21.28,58,NA,NA,5.5,111.8,51.6,618
MuntiacusC,Muntiacus crinifrons,22042.2,3,11.98,8,0.2,monogamous,1,23.1,24.1,1333
BlueSheep,Pseudois nayaur,51293.83,5,22.75,54,NA,NA,25,60,39.5,918
BlueWildeb,Connochaetes taurinus,186019.78,7.5,23.2,58,0.18,polygamous,25,235.3,184.9,1639
BohorReedb,Redunca redunca,43436.77,4.2,18,56,0.18,polygamous,1.4,51.6,40.3,3516
Bongo,Tragelaphus eurycerus,289299.97,5,20.41,33,0.06,NA,8.4,300,240,565
Bushbuck,Tragelaphus scriptus,46610.24,5.1,14.14,33,0.28,polygamous,1,49.7,31.1,108
MuntiacusR,Muntiacus reevesi,14399.98,3,23.18,46,0.14,monogamous,1,14.4,12.8,1724
CommonDuik,Sylvicapra grimmia,17527.79,5,14.87,60,0.19,monogamous,2,18.3,19.6,2103
CommonElan,Taurotragus oryx,437706.72,5,25.32,63,0.16,polygamous,25,647.3,415.8,425
DefassaWat,Kobus ellipsiprymnus,177843.3,7.1,23.9,53,0.23,polygamous,3.6,236.8,187.3,3326
ForestMusk,Moschus berezovskii,11493.22,5,NA,58,0.22,NA,1,NA,NA,1407
Gemsbok,Oryx gazella,150181.15,5,21.69,56,0.11,polygamous,17.5,178,166.4,1917
Gerenuk,Litocranius walleri,40027.48,4.6,14.72,60,0.08,polygamous,3,35,34.3,2147
Giraffe,Giraffa camelopardalis,883929.91,10,37.9,30,0.11,polygamous,25.5,1190.2,814.3,4131
GyrantGaze,Nanger granti,58739.28,5,16.88,30,0.14,polygamous,17.5,72.1,46,2709
GreaterKud,Tragelaphus strepsiceros,209622.76,6.2,23.25,31,0.13,polygamous,5.5,248,159.2,471
HarveysDui,Cephalophus harveyi,11844.9,4.6,15.14,60,0.17,monogamous,1,13.1,12.1,2149
Ibex,Capra ibex,76702.67,5,21.6,60,NA,NA,19.5,80.5,48.9,1583
Impala,Aepyceros melampus ,52478.36,5.7,19.91,59,0.11,polygamous,23.4,56.9,43.8,1509
MuntiacusM,Muntiacus muntjak,17909.8,3,18.08,6,0.09,monogamous,1,20.9,15.1,1333
KirksDik,Madoqua kirkii,4837.82,3.6,16.96,47,0.21,monogamous,2,4.6,5.1,1363
Klipspring,Oreotragus oreotragus,12977.29,5,21.06,60,0.26,monogamous,1.5,11.3,13,863
LesserKudu,Tragelaphus imberbis,86839.18,5,19.36,38,0.08,polygamous,3.5,95.6,62.1,1150
LesserMous,Tragulus kanchil,2925,3,15.35,32,0.54,NA,1,NA,NA,4959
MaxwellsDu,Philantomba maxwellii,8449.54,5,15.03,60,0.27,monogamous,2,6.5,7.2,1841
Daviddeer,Elaphurus davidianus,166495.67,5,24.98,68,0.06,NA,NA,NA,NA,2827
MountainNy,Tragelaphus buxtoni,215375.48,5,13.84,55,0.1,polygamous,8.6,232,166.7,550
Okapi,Okapia johnstoni,229000.68,8,33.25,45,0.05,monogamous,1,200,200,4224
Oribi,Ourebia ourebi,17144.44,5,15.86,NA,NA,monogamous,2,14.1,15.1,981
Pronghorn,Antilocapra americana,44447.87,5,13.75,58,0.12,polygamous,12.5,61.7,46.8,1625
GazellaPrz,Procapra przewalskii,26962.21,3,5.59,60,0.14,polygamous,3.5,NA,NA,422
Reindeer,Rangifer tarandus,98437.08,5,20.98,70,0.13,polygamous,NA,145,85.8,3121
RoyalAntel,Neotragus pygmaeus,3648.74,5,13.4,36,0.18,NA,1,2,2.2,860
Sitatunga,Tragelaphus spekii,80710.69,4.6,21.94,30,0.06,polygamous,1,102.3,60.2,162
Springbuck,Antidorcas marsupialis,34168.5,5,19.9,56,0.44,NA,NA,40.7,35.5,2125
Steenbok,Raphicerus campestris,11282.48,5,12.12,30,0.32,monogamous,2,10.9,11.3,1344
Suni,Neotragus moschatus,5447.8,4,13.8,54,0.18,monogamous,1,4.8,5.1,1517
ThomsonGaz,Eudorcas thomsonii,22840.98,5,17.04,58,0.15,polygamous,17.5,22.7,17.8,2811
Topi,Damaliscus lunatus,126400.13,5,21.35,36,0.26,polygamous,20,137,120.1,1506
WhiteLippe,Cervus albirostris,143536.38,5,19.74,66,0.3,NA,20.5,204.2,125,2576
goat,Capra hircus,51595.49,1.85,23.8,60,NA,NA,NA,NA,NA,1606
Cattle,Bos taurus,616761.61,2.89,19.53,60,NA,NA,NA,NA,NA,2620
Sheep,Ovis aries,61099.3,6.5,17.9,54,NA,NA,NA,NA,NA,2232
RoeDeer,Capreolus capreolus,22816.92,2.62,20.63,NA,NA,polygamous,5.5,24.2,23.4,2089
Yak,Bos grunniens,527833.33,3.71,20,NA,NA,polygamous,34.3,590.5,306,2782
Hartebeest,Alcelaphus buselaphus,163734.84,4.25,23.95,40,NA,polygamous,27.5,178.3,162.7,1182
WhiteTaile,Odocoileus virginianus,67932.46,1.93,23.95,NA,NA,polygamous,NA,57.6,47.1,3105
TibetanAnt,Pantholops hodgsonii,30712.42,2.99,15.95,NA,NA,polygamous,10.5,42.3,25.8,1834